TIMESTAMP,seqnum,Rain_Tot,who
2026-06-01,1430003,0,7
2026-06-02,1430003,7.2,7
2026-06-03,1430003,0,7
2026-06-04,1430003,0.2,7
2026-06-05,1430003,0,7
2026-06-06,1430003,0,7
2026-06-07,1430003,0.4,7
2026-06-08,1430003,0,7
2026-06-09,1430003,0,7
2026-06-10,1430003,0,7
2026-06-11,1430003,0,7
2026-06-12,1430003,0,7
2026-06-13,1430003,0.2,7
2026-06-14,1430003,0,7
2026-06-15,1430003,0,7
2026-06-16,1430003,0,7
2026-06-17,1430003,0,7
2026-06-18,1430003,0.2,7
2026-06-19,1430003,0.2,7
2026-06-20,1430003,0,7
2026-06-21,1430003,2.4,7
2026-06-22,1430003,21,7
2026-06-23,1430003,0.4,7
2026-06-24,1430003,0,7
2026-06-25,1430003,0,7
2026-06-26,1430003,0,7
2026-06-27,1430003,0.2,7
2026-06-28,1430003,0,7
2026-06-29,1430003,0,7
2026-06-30,1430003,0,7
