TIMESTAMP,seqnum,Rain_Tot,who
2026-05-01,1430008,4,7
2026-05-02,1430008,1.8,7
2026-05-03,1430008,0,7
2026-05-04,1430008,0,7
2026-05-05,1430008,2.8,7
2026-05-06,1430008,28,7
2026-05-07,1430008,0.4,7
2026-05-08,1430008,0,7
2026-05-09,1430008,0,7
2026-05-10,1430008,0,7
2026-05-11,1430008,0.2,7
2026-05-12,1430008,0,7
2026-05-13,1430008,0,7
2026-05-14,1430008,0,7
2026-05-15,1430008,0,7
2026-05-16,1430008,0,7
2026-05-17,1430008,0.2,7
2026-05-18,1430008,0,7
2026-05-19,1430008,0,7
2026-05-20,1430008,0,7
2026-05-21,1430008,0,7
2026-05-22,1430008,0,7
2026-05-23,1430008,0,7
2026-05-24,1430008,0,7
2026-05-25,1430008,0,7
2026-05-26,1430008,0,7
2026-05-27,1430008,0,7
2026-05-28,1430008,0,7
2026-05-29,1430008,0,7
2026-05-30,1430008,0,7
2026-05-31,1430008,0.2,7
